"filename", "language", "PHP", "comment", "blank", "total"
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\permission_categories\edit.blade.php", "PHP", 56, 0, 11, 67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\permission_categories\index.blade.php", "PHP", 39, 0, 9, 48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\permission_categories\show.blade.php", "PHP", 45, 0, 7, 52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\permissions\edit.blade.php", "PHP", 83, 0, 13, 96
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\permissions\index.blade.php", "PHP", 38, 0, 9, 47
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\create.blade.php", "PHP", 464, 44, 58, 566
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\dependence\create.blade.php", "PHP", 259, 0, 34, 293
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\dependence\edit.blade.php", "PHP", 255, 0, 30, 285
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\dependence\index.blade.php", "PHP", 38, 0, 9, 47
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\dependence\show.blade.php", "PHP", 265, 0, 56, 321
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\dependence\show_neo.blade.php", "PHP", 171, 0, 41, 212
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\edit.blade.php", "PHP", 418, 1, 48, 467
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\index.blade.php", "PHP", 38, 0, 9, 47
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\noks\create.blade.php", "PHP", 204, 0, 28, 232
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\noks\edit.blade.php", "PHP", 199, 0, 28, 227
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\noks\index.blade.php", "PHP", 38, 0, 9, 47
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\noks\show.blade.php", "PHP", 265, 0, 56, 321
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\noks\show_neo.blade.php", "PHP", 171, 0, 41, 212
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\show.blade.php", "PHP", 535, 10, 81, 626
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\show_neo.blade.php", "PHP", 171, 0, 41, 212
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\province\create.blade.php", "PHP", 55, 0, 8, 63
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\province\edit.blade.php", "PHP", 56, 0, 11, 67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\province\index.blade.php", "PHP", 39, 0, 9, 48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\province\show.blade.php", "PHP", 45, 0, 7, 52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ranaviru_types\create.blade.php", "PHP", 55, 0, 8, 63
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ranaviru_types\edit.blade.php", "PHP", 56, 0, 11, 67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ranaviru_types\index.blade.php", "PHP", 39, 0, 9, 48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ranaviru_types\show.blade.php", "PHP", 45, 0, 7, 52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ranks\create.blade.php", "PHP", 82, 0, 11, 93
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ranks\edit.blade.php", "PHP", 82, 0, 13, 95
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ranks\index.blade.php", "PHP", 39, 0, 9, 48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ranks\show.blade.php", "PHP", 53, 0, 11, 64
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\regiment_departments\create.blade.php", "PHP", 74, 0, 10, 84
