"filename", "language", "PHP", "SCSS", "CSS", "JavaScript", "comment", "blank", "total"
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ranks\edit.blade.php", "PHP", -82, 0, 0, 0, 0, -13, -95
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ranks\index.blade.php", "PHP", -39, 0, 0, 0, 0, -9, -48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ranks\show.blade.php", "PHP", -53, 0, 0, 0, 0, -11, -64
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\regiment_departments\create.blade.php", "PHP", -74, 0, 0, 0, 0, -10, -84
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\regiment_departments\edit.blade.php", "PHP", -74, 0, 0, 0, 0, -12, -86
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\regiment_departments\index.blade.php", "PHP", -39, 0, 0, 0, 0, -9, -48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\regiment_departments\show.blade.php", "PHP", -53, 0, 0, 0, 0, -11, -64
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\relation_ships\create.blade.php", "PHP", -55, 0, 0, 0, 0, -8, -63
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\relation_ships\edit.blade.php", "PHP", -56, 0, 0, 0, 0, -11, -67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\relation_ships\index.blade.php", "PHP", -39, 0, 0, 0, 0, -9, -48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\relation_ships\show.blade.php", "PHP", -45, 0, 0, 0, 0, -7, -52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\reports\person_profile.blade.php", "PHP", -176, 0, 0, 0, 0, -25, -201
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\roles\create.blade.php", "PHP", -84, 0, 0, 0, 0, -10, -94
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\roles\edit.blade.php", "PHP", -81, 0, 0, 0, 0, -12, -93
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\roles\index.blade.php", "PHP", -40, 0, 0, 0, 0, -9, -49
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\roles\show.blade.php", "PHP", -57, 0, 0, 0, 0, -7, -64
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\users\create.blade.php", "PHP", -252, 0, 0, 0, -4, -34, -290
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\users\edit.blade.php", "PHP", -247, 0, 0, 0, -4, -34, -285
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\users\index.blade.php", "PHP", -39, 0, 0, 0, 0, -9, -48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\users\show.blade.php", "PHP", -89, 0, 0, 0, 0, -11, -100
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\usertype\create.blade.php", "PHP", -55, 0, 0, 0, 0, -8, -63
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\usertype\edit.blade.php", "PHP", -56, 0, 0, 0, 0, -11, -67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\usertype\index.blade.php", "PHP", -39, 0, 0, 0, 0, -9, -48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\usertype\show.blade.php", "PHP", -45, 0, 0, 0, 0, -7, -52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\welcome.blade.php", "PHP", -118, 0, 0, 0, 0, -23, -141
"e:\xampp 8.1\htdocs\army\vpcms\routes\api.php", "PHP", 10, 0, 0, 0, 13, 9, 32
"e:\xampp 8.1\htdocs\army\vpcms\routes\channels.php", "PHP", 5, 0, 0, 0, 10, 4, 19
"e:\xampp 8.1\htdocs\army\vpcms\routes\console.php", "PHP", 6, 0, 0, 0, 10, 4, 20
"e:\xampp 8.1\htdocs\army\vpcms\routes\web.php", "PHP", 116, 0, 0, 0, 15, 38, 169
"Total", "-", -9357, -17, 0, -9, -67, -1545, -10995
